event_time,item_type,item_name,relative_path,action,summary
2026-05-17T19:50:54+08:00,project,01AI-BAT,01AI-BAT,baseline,initial paint status scan
2026-05-17T19:50:54+08:00,project,02AI-老药新用,02AI-老药新用,baseline,initial paint status scan
2026-05-17T19:50:54+08:00,project,03AI-LNP,03AI-LNP,baseline,initial paint status scan
2026-05-17T19:50:54+08:00,project,04AI-生物化学,04AI-生物化学,baseline,initial paint status scan
2026-05-17T19:50:54+08:00,project,05AI-级联催化逆合成,05AI-级联催化逆合成,baseline,initial paint status scan
2026-05-17T19:50:54+08:00,project,06AI-有机光伏材料,06AI-有机光伏材料,baseline,initial paint status scan
2026-05-17T19:50:54+08:00,project,07AI-抗冻肽,07AI-抗冻肽,baseline,initial paint status scan
2026-05-17T19:50:54+08:00,project,08AI-可变蛋白,08AI-可变蛋白,baseline,initial paint status scan
2026-05-17T19:50:54+08:00,project,09AI-胃癌预测,09AI-胃癌预测,baseline,initial paint status scan
2026-05-17T19:50:54+08:00,project,10AI-吸附质放置,10AI-吸附质放置,baseline,initial paint status scan
2026-05-17T19:50:54+08:00,meeting_minutes,2026-05-17-条件分子生成论文共读.minutes.md,Meet_content\2026-05-17-条件分子生成论文共读.minutes.md,baseline,initial paint status scan
2026-05-17T19:50:54+08:00,meeting_minutes,2026-05-17-级联反应路径规划讨论.minutes.md,Meet_content\2026-05-17-级联反应路径规划讨论.minutes.md,baseline,initial paint status scan
