item_type,item_name,relative_path,last_scanned_at,latest_source_mtime,last_content_update,update_count,needs_update,notes
project,01AI-BAT,01AI-BAT,2026-05-22T11:13:39+08:00,2026-05-17T20:20:50+08:00,2026-05-17T21:06:36+08:00,0,no,baseline scan
project,02AI-老药新用,02AI-老药新用,2026-05-22T11:13:39+08:00,2026-05-17T20:20:50+08:00,2026-05-17T21:06:49+08:00,0,no,baseline scan
project,03AI-LNP,03AI-LNP,2026-05-22T11:13:39+08:00,,2026-05-17T21:06:56+08:00,0,no,baseline scan
project,04AI-生物化学,04AI-生物化学,2026-05-22T11:13:39+08:00,,2026-05-17T21:07:09+08:00,0,no,baseline scan
project,05AI-级联催化逆合成,05AI-级联催化逆合成,2026-05-22T11:13:39+08:00,2026-05-17T20:20:50+08:00,2026-05-17T21:07:18+08:00,0,no,baseline scan
project,06AI-有机光伏材料,06AI-有机光伏材料,2026-05-22T11:13:39+08:00,2026-05-17T20:20:50+08:00,2026-05-17T21:07:26+08:00,0,no,baseline scan
project,07AI-抗冻肽,07AI-抗冻肽,2026-05-22T11:13:39+08:00,2026-05-17T20:20:50+08:00,2026-05-17T21:07:31+08:00,0,no,baseline scan
project,08AI-可变蛋白,08AI-可变蛋白,2026-05-22T11:13:39+08:00,2026-05-17T20:20:50+08:00,2026-05-17T21:07:42+08:00,0,no,baseline scan
project,09AI-胃癌预测,09AI-胃癌预测,2026-05-22T11:13:39+08:00,2026-05-17T20:20:50+08:00,2026-05-17T21:09:50+08:00,0,no,baseline scan
project,10AI-吸附质放置,10AI-吸附质放置,2026-05-22T11:13:39+08:00,2026-05-17T20:20:50+08:00,2026-05-17T21:07:47+08:00,0,no,baseline scan
meeting_minutes,2026-05-17-条件分子生成论文共读.minutes.md,Meet_content\2026-05-17-条件分子生成论文共读.minutes.md,2026-05-22T11:13:39+08:00,2026-05-17T21:07:55+08:00,2026-05-17T19:29:51+08:00,0,no,baseline scan
meeting_minutes,2026-05-17-级联反应路径规划讨论.minutes.md,Meet_content\2026-05-17-级联反应路径规划讨论.minutes.md,2026-05-22T11:13:39+08:00,2026-05-17T21:08:03+08:00,2026-05-17T19:29:51+08:00,0,no,baseline scan
meeting_minutes,2026-05-21-蝙蝠基因组分析复现与网页展示讨论.minutes.md,Meet_content\2026-05-21-蝙蝠基因组分析复现与网页展示讨论.minutes.md,2026-05-22T11:13:39+08:00,2026-05-22T11:10:38+08:00,2026-05-22T11:10:38+08:00,0,no,baseline scan
